country,year,n_players,age_mean,age_std,value_mean,value_std
Iran,2022,38,26.74,3.7,765789.47,598556.96
Iran,2023,38,29.13,3.43,994736.84,829377.5
Iran,2024,37,26.76,4.22,975000.0,806812.21
Iran,2025,39,27.34,3.92,894736.84,783089.32
Iran,2026,26,29.85,4.16,1232692.31,913040.39
Iraq,2022,40,26.45,3.77,404032.26,259271.37
Iraq,2023,40,26.4,3.51,440909.09,264633.69
Iraq,2024,37,26.62,3.96,525694.44,683548.9
Iraq,2025,39,25.64,3.83,411842.11,241414.2
Iraq,2026,26,26.46,3.7,815384.62,706973.4
Ivory Coast,2022,38,26.03,4.56,9148571.43,11317637.85
Ivory Coast,2023,35,25.89,4.9,10302380.95,12055906.24
Ivory Coast,2024,36,26.08,4.37,9739285.71,10784448.6
Ivory Coast,2025,37,25.27,4.55,8950000.0,10362707.86
Ivory Coast,2026,26,25.38,3.74,20080769.23,19199199.09
Japan,2022,39,26.26,4.12,2947435.9,5334153.97
Japan,2023,39,25.95,2.81,9033333.33,12105759.03
Japan,2024,39,25.18,3.3,8880263.16,13162219.36
Japan,2025,39,25.21,4.01,4232692.31,6095072.5
Japan,2026,26,26.96,3.85,10417307.69,8885045.15
Jordan,2022,36,26.67,4.1,280441.18,215261.02
Jordan,2023,38,28.61,4.14,569852.94,1322997.65
Jordan,2024,41,26.56,4.0,424264.71,978810.15
Jordan,2025,38,25.92,3.95,595370.37,1094896.35
Jordan,2026,26,28.04,4.07,780769.23,1854144.37
Mexico,2022,35,26.26,5.49,4012121.21,3425639.3
Mexico,2023,37,24.97,4.03,4386486.49,5556450.46
Mexico,2024,35,24.23,3.93,4553676.47,5774335.12
Mexico,2025,37,25.11,3.76,5862162.16,4774784.63
Mexico,2026,26,27.54,4.53,7378846.15,4626889.91
Morocco,2022,39,25.77,3.85,7743421.05,13301217.65
Morocco,2023,39,24.69,4.13,8234210.53,12581956.88
Morocco,2024,38,25.05,4.63,10631944.44,13327598.52
Morocco,2025,39,26.36,4.37,6110694.44,12153534.13
Morocco,2026,26,26.15,4.77,17219230.77,18057770.95
Netherlands,2022,37,25.22,4.59,17747972.97,17415834.65
Netherlands,2023,38,24.5,4.06,18784722.22,17555186.08
Netherlands,2024,37,25.16,3.95,26594594.59,18764125.43
Netherlands,2025,37,24.65,3.36,28932432.43,18455630.56
Netherlands,2026,26,27.42,3.71,29007692.31,18376027.93
New Zealand,2022,39,24.72,3.99,548684.21,940638.56
New Zealand,2023,38,24.89,4.18,764583.33,1648877.72
New Zealand,2024,36,26.42,4.4,882638.89,1683774.9
New Zealand,2025,37,25.76,4.65,764583.33,1307063.81
New Zealand,2026,26,27.81,4.52,1319230.77,1290727.06
Norway,2022,39,26.56,3.32,11991025.64,30782962.05
Norway,2023,37,24.54,3.01,9220833.33,27533937.08
Norway,2024,37,25.89,2.91,15213513.51,31328556.72
Norway,2025,37,24.76,3.19,15627027.03,35857930.24
Norway,2026,26,26.35,3.01,22688461.54,38295484.04
Panama,2022,41,25.34,4.34,336842.11,575792.84
Panama,2023,41,24.49,4.14,408378.38,644849.71
Panama,2024,39,26.41,4.02,698611.11,953719.77
Panama,2025,38,25.03,3.75,875694.44,1498952.02
Panama,2026,26,30.08,3.69,1328846.15,1669000.34
Paraguay,2022,38,26.11,4.47,2715714.29,2411246.61
Paraguay,2023,35,26.17,4.4,2605147.06,2692703.78
Paraguay,2024,38,25.97,4.45,3910294.12,6134147.18
Paraguay,2025,38,26.24,4.49,4102702.7,4796239.32
Paraguay,2026,26,28.62,4.6,5909615.38,6632843.97
Portugal,2022,36,27.78,5.02,32058333.33,24496081.04
Portugal,2023,35,25.74,4.66,30974285.71,24268431.5
Portugal,2024,39,25.46,4.27,29807692.31,24666590.97
Portugal,2025,32,25.22,4.56,36193548.39,19665623.12
Portugal,2026,26,27.62,4.2,38673076.92,34532298.79
Qatar,2022,35,26.74,3.71,461428.57,685105.38
Qatar,2023,40,27.25,3.58,487500.0,897409.47
Qatar,2024,37,27.27,4.63,325000.0,180277.56
Qatar,2025,38,26.79,4.48,605921.05,1212292.23
Qatar,2026,26,28.92,4.67,766346.15,1533753.92
Saudi Arabia,2022,39,27.46,3.69,870394.74,623520.76
Saudi Arabia,2023,36,25.67,3.6,643750.0,707950.26
Saudi Arabia,2024,39,26.74,3.93,834868.42,771715.01
Saudi Arabia,2025,38,25.29,3.68,776973.68,724146.08
Saudi Arabia,2026,26,28.0,3.51,1564423.08,1910612.73
Scotland,2022,37,27.41,4.35,7902027.03,9569465.76
Scotland,2023,33,25.82,3.2,9061363.64,11868051.54
Scotland,2024,35,27.91,4.42,6661428.57,9997571.75
Scotland,2025,37,26.46,4.71,7304054.05,9050252.93
Scotland,2026,26,28.73,4.8,6548076.92,8296598.94
Senegal,2022,40,25.68,3.69,9987179.49,15083956.15
Senegal,2023,40,24.52,4.58,6836956.52,8846999.21
Senegal,2024,41,24.78,4.82,8296052.63,8661153.3
Senegal,2025,40,24.35,4.48,7898000.0,9470147.62
Senegal,2026,26,26.73,5.42,18388461.54,15984591.79
South Africa,2022,37,26.3,3.05,641176.47,544385.86
South Africa,2023,40,26.12,3.53,692567.57,519838.36
South Africa,2024,39,26.77,3.7,691025.64,440915.68
South Africa,2025,38,26.5,3.82,798437.5,571215.04
South Africa,2026,26,26.35,4.15,1894230.77,1469780.66
South Korea,2022,34,26.59,3.62,1641911.76,2112747.73
South Korea,2023,38,28.29,3.79,4458108.11,10576998.97
South Korea,2024,37,27.27,4.06,3181756.76,10155441.64
South Korea,2025,33,26.12,3.93,3476515.15,9056459.98
South Korea,2026,26,27.5,3.63,5348076.92,6790002.28
Spain,2022,33,24.97,4.48,30045454.55,20030417.64
Spain,2023,38,25.71,4.2,26502631.58,19534591.27
Spain,2024,39,24.97,4.27,29397368.42,22672618.39
Spain,2025,38,25.29,4.17,41460526.32,35192400.04
Spain,2026,26,26.31,3.96,47030769.23,41369170.7
Sweden,2022,39,28.03,4.04,4819736.84,8749402.53
Sweden,2023,39,25.26,4.4,2703846.15,3195758.1
Sweden,2024,38,25.82,4.04,6963513.51,9761318.09
Sweden,2025,39,24.92,4.28,6623684.21,7812218.31
Sweden,2026,24,27.25,3.49,16594791.67,20760910.76
Switzerland,2022,38,27.32,3.71,8772368.42,8979499.29
Switzerland,2023,39,26.49,3.47,7581578.95,8515090.48
Switzerland,2024,37,27.35,3.74,8278378.38,9010328.46
Switzerland,2025,38,25.58,3.68,8685526.32,9619490.27
Switzerland,2026,26,27.81,3.75,12788461.54,12542890.32
Tunisia,2022,35,25.26,4.38,1571323.53,2350032.32
Tunisia,2023,33,24.55,3.7,2218103.45,2602294.22
Tunisia,2024,39,26.08,4.1,1889743.59,3097624.8
Tunisia,2025,40,27.03,4.22,1931410.26,2314334.64
Tunisia,2026,26,26.27,4.0,2690384.62,3077149.63
Turkey,2022,40,25.52,3.8,8481875.0,8472960.65
Turkey,2023,36,24.56,3.66,8995714.29,8418791.66
Turkey,2024,38,26.26,3.38,10855263.16,11453491.71
Turkey,2025,39,25.1,3.93,10601282.05,11861867.84
Turkey,2026,26,27.23,3.88,18219230.77,21588138.11
United States,2022,36,23.72,3.77,8441666.67,10267948.38
United States,2023,37,24.0,4.13,4891216.22,5712392.34
United States,2024,37,24.08,3.7,6193055.56,6525443.29
United States,2025,37,24.78,3.69,6175000.0,6648605.74
United States,2026,26,26.42,3.38,14832692.31,12292969.71
Uruguay,2022,37,26.81,4.6,11986111.11,14171061.14
Uruguay,2023,35,24.34,3.23,10867857.14,20053652.65
Uruguay,2024,37,24.11,3.24,8326515.15,16462405.45
Uruguay,2025,36,24.56,4.02,15300000.0,24699732.27
Uruguay,2026,26,28.23,3.32,13819230.77,17724950.24
Uzbekistan,2022,37,24.11,2.95,1047972.97,1952894.41
Uzbekistan,2023,37,26.0,3.27,1214864.86,1206954.22
Uzbekistan,2024,32,25.66,3.56,1050000.0,997966.68
Uzbekistan,2025,38,25.84,3.85,1363815.79,2172061.67
Uzbekistan,2026,26,27.77,4.17,3274038.46,9496007.46
