date,home_score,away_score,tournament,neutral,elo_home_pre,elo_away_pre,elo_diff,result,home_age_mean,home_age_std,home_value_mean,home_value_std,away_age_mean,away_age_std,away_value_mean,away_value_std,age_mean_diff,age_std_diff,value_mean_diff,value_std_diff
2022-03-27,5.0,1.0,FIFA World Cup qualification,False,1955.1,1728.5,326.7,H,23.72,3.77,8441666.67,10267948.38,25.34,4.34,336842.11,575792.84,-1.620000000000001,-0.5699999999999998,8104824.56,9692155.54
2022-03-29,5.0,0.0,Friendly,False,2154.7,1648.7,606.0,H,26.49,3.91,42277777.78,32929732.52,26.3,3.05,641176.47,544385.86,0.1899999999999977,0.8600000000000003,41636601.31,32385346.66
2022-03-29,3.0,0.0,Friendly,False,2089.1,1787.6,401.5,H,26.61,3.51,43148648.65,30078470.54,26.03,4.56,9148571.43,11317637.85,0.5799999999999983,-1.0499999999999998,34000077.22,18760832.69
2022-03-29,1.0,1.0,Friendly,False,1985.3,2016.0,69.3,D,25.22,4.59,17747972.97,17415834.65,27.31,3.86,26888888.89,22332124.07,-2.09,0.73,-9140915.920000002,-4916289.420000002
2022-03-29,4.0,1.0,FIFA World Cup qualification,False,1822.6,1618.6,304.0,H,25.77,3.85,7743421.05,13301217.65,26.29,2.47,2511206.9,3355185.04,-0.5199999999999996,1.38,5232214.15,9946032.61
2022-03-29,1.0,0.0,FIFA World Cup qualification,False,1827.9,1812.5,115.4,H,25.68,3.69,9987179.49,15083956.15,26.98,3.64,1478205.13,2045940.16,-1.3000000000000007,0.0499999999999998,8508974.36,13038015.99
2022-03-29,1.0,0.0,FIFA World Cup qualification,False,1741.1,1801.1,40.0,H,27.46,3.69,870394.74,623520.76,26.59,4.55,1270394.74,1507785.23,0.870000000000001,-0.8599999999999999,-400000.0,-884264.47
2022-03-29,1.0,1.0,FIFA World Cup qualification,False,1895.7,2182.2,-186.5,D,24.0,4.76,2385714.29,3242454.35,26.61,3.95,18885714.29,13120913.36,-2.609999999999999,0.8099999999999996,-16500000.0,-9878459.01
2022-03-29,2.0,2.0,Friendly,False,1764.0,1773.3,90.7,D,26.97,3.78,9122857.14,9774605.16,27.41,4.35,7902027.03,9569465.76,-0.4400000000000013,-0.5699999999999998,1220830.1100000003,205139.40000000037
2022-03-30,1.0,0.0,FIFA World Cup qualification,False,1718.5,1947.7,-129.2,H,25.34,4.34,336842.11,575792.84,25.02,4.42,4973717.95,13205320.11,0.3200000000000003,-0.08,-4636875.84,-12629527.27
2022-06-01,3.0,0.0,Friendly,False,1931.7,1833.0,198.7,H,23.72,3.77,8441666.67,10267948.38,25.77,3.85,7743421.05,13301217.65,-2.0500000000000007,-0.08,698245.6200000001,-3033269.2699999996
2022-06-01,2.0,1.0,Friendly,True,1783.4,1657.3,126.2,H,26.59,4.55,1270394.74,1507785.23,26.67,4.1,280441.18,215261.02,-0.0800000000000018,0.4500000000000002,989953.56,1292524.21
2022-06-02,4.0,1.0,Friendly,False,1900.7,1790.7,210.1,H,26.26,4.12,2947435.9,5334153.97,26.11,4.47,2715714.29,2411246.61,0.1500000000000021,-0.3499999999999996,231721.60999999987,2922907.36
2022-06-02,1.0,5.0,Friendly,False,1894.7,2213.5,-218.8,A,26.59,3.62,1641911.76,2112747.73,26.94,4.36,30242857.14,25369095.77,-0.3500000000000014,-0.7400000000000002,-28600945.38,-23256348.04
2022-06-02,0.0,3.0,Friendly,True,1951.9,1984.5,-32.6,A,26.26,5.49,4012121.21,3425639.3,26.81,4.6,11986111.11,14171061.14,-0.5499999999999972,0.8900000000000006,-7973989.899999999,-10745421.84
2022-06-02,1.0,1.0,UEFA Nations League,False,2086.9,2033.3,153.6,D,24.97,4.48,30045454.55,20030417.64,27.78,5.02,32058333.33,24496081.04,-2.8100000000000023,-0.5399999999999991,-2012878.7799999977,-4465663.3999999985
2022-06-02,2.0,1.0,UEFA Nations League,False,1866.8,1987.3,-20.5,H,27.97,2.83,4161029.41,6969996.6,27.32,3.71,8772368.42,8979499.29,0.6499999999999986,-0.8799999999999999,-4611339.01,-2009502.6899999997
2022-06-03,0.0,3.0,UEFA Nations League,False,1902.2,1761.4,240.7,A,26.18,4.0,11381818.18,10516983.51,26.97,3.78,9122857.14,9774605.16,-0.7899999999999991,0.2200000000000002,2258961.039999999,742378.3499999996
2022-06-03,1.0,4.0,UEFA Nations League,False,2129.6,1983.3,246.3,A,27.95,4.38,14484210.53,14562452.19,25.22,4.59,17747972.97,17415834.65,2.7300000000000004,-0.2099999999999999,-3263762.4399999995,-2853382.459999999
